Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.0002,,,
Sample Interval,1.6e-06,,,
Filter Frequency,2e+08,,,
Record Length,2000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,5,0.02,0.5,1
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.464e-04,-0.228906,0.085375,-1.85008,0.0598437
-4.448e-04,-0.297656,0.0853219,-1.85,0.0599999
-4.432e-04,-0.225,0.0852125,-1.84992,0.0396874
-4.416e-04,-0.229687,0.0848031,-1.84992,0.0599999
-4.400e-04,-0.217187,0.0846781,-1.84992,0.0595312
-4.384e-04,-0.210156,0.0844844,-1.84992,0.0599999
-4.368e-04,-0.216406,0.0844437,-1.84992,0.0576562
-4.352e-04,-0.2125,0.0844094,-1.84945,0.0595312
-4.336e-04,-0.214062,0.0839281,-1.84805,0.0599999
-4.320e-04,-0.214062,0.0837844,-1.84469,0.0598437
-4.304e-04,-0.210937,0.0837062,-1.84156,0.0589062
-4.288e-04,-0.211718,0.0835969,-1.83,0.0599999
-4.272e-04,-0.209375,0.0831656,-1.82992,0.0599999
-4.256e-04,-0.204687,0.0830219,-1.83,0.0598437
-4.240e-04,-0.184375,0.082825,-1.82992,0.0599999
-4.224e-04,-0.295312,0.0828031,-1.83,0.0599999
-4.208e-04,-0.200781,0.0825281,-1.82992,0.0599999
-4.192e-04,-0.209375,0.0822656,-1.82992,0.0598437
-4.176e-04,-0.204687,0.0821031,-1.82797,0.0585937
-4.160e-04,-0.198437,0.082,-1.82727,0.0587499
-4.144e-04,-0.199218,0.0819469,-1.82648,0.0599999
-4.128e-04,-0.189062,0.0815219,-1.82492,0.0599999
-4.112e-04,-0.172656,0.0813531,-1.82063,0.0598437
-4.096e-04,-0.189843,0.0812719,-1.81289,0.0599999
-4.080e-04,-0.171875,0.0812031,-1.81,0.0598437
-4.064e-04,-0.175781,0.0807719,-1.81,0.0599999
-4.048e-04,-0.171093,0.0805125,-1.80992,0.0599999
-4.032e-04,-0.160937,0.0804531,-1.80992,0.0573437
-4.016e-04,-0.157812,0.0804125,-1.81,0.0599999
-4.000e-04,-0.161718,0.0800937,-1.80992,0.0596874
-3.984e-04,-0.150781,0.0798094,-1.80992,0.0599999
-3.968e-04,-0.15625,0.0797125,-1.80625,0.0599999
-3.952e-04,-0.146093,0.0796062,-1.79313,0.0599999
-3.936e-04,-0.153906,0.0794844,-1.79,0.0598437
-3.920e-04,-0.146093,0.0791031,-1.78992,0.0557812
-3.904e-04,-0.153906,0.0789281,-1.79,0.0599999
-3.888e-04,-0.136718,0.0788625,-1.79,0.0592187
-3.872e-04,-0.132031,0.0788062,-1.79,0.0421874
-3.856e-04,-0.127343,0.07855,-1.78992,0.0598437
-3.840e-04,-0.104687,0.0783531,-1.78984,0.0599999
-3.824e-04,-0.0999995,0.0780719,-1.78789,0.0596874
-3.808e-04,-0.107812,0.0780625,-1.78758,0.0595312
-3.792e-04,-0.0999995,0.0780312,-1.79,0.0598437
-3.776e-04,-0.0992183,0.0775812,-1.78531,0.0599999
-3.760e-04,-0.0999995,0.0773187,-1.77844,0.0598437
-3.744e-04,-0.100781,0.0772656,-1.77,0.0599999
-3.728e-04,-0.0999995,0.0772094,-1.77,0.0599999
-3.712e-04,-0.0999995,0.0772031,-1.77,0.0599999
-3.696e-04,-0.0999995,0.0766344,-1.77,0.0599999
-3.680e-04,-0.0999995,0.076525,-1.76992,0.0599999
-3.664e-04,-0.0999995,0.076475,-1.76992,0.0599999
-3.648e-04,-0.0999995,0.0764062,-1.76992,0.0598437
-3.632e-04,-0.0999995,0.0760437,-1.76758,0.0599999
-3.616e-04,-0.0999995,0.0757937,-1.76586,0.0598437
-3.600e-04,-0.0999995,0.0757125,-1.76359,0.0599999
-3.584e-04,-0.0999995,0.0756094,-1.75727,0.0599999
-3.568e-04,-0.0999995,0.0752781,-1.75,0.0599999
-3.552e-04,-0.0992183,0.0750531,-1.75,0.0596874
-3.536e-04,-0.0999995,0.0749969,-1.75,0.0599999
-3.520e-04,-0.0999995,0.0748125,-1.74992,0.0599999
-3.504e-04,-0.0992183,0.0748125,-1.74992,0.0595312
-3.488e-04,-0.0999995,0.0743531,-1.74992,0.0592187
-3.472e-04,-0.0999995,0.0742656,-1.74953,0.0399999
-3.456e-04,-0.100781,0.0741312,-1.74836,0.0599999
-3.440e-04,-0.0999995,0.0740031,-1.74797,0.0582812
-3.424e-04,-0.0999995,0.0738812,-1.74391,0.0601562
-3.408e-04,-0.0999995,0.0735125,-1.73719,0.0392187
-3.392e-04,-0.0992183,0.0733,-1.73,0.0598437
-3.376e-04,-0.0999995,0.0732219,-1.73,0.0567187
-3.360e-04,-0.0999995,0.0731969,-1.73,0.0601562
-3.344e-04,-0.0992183,0.0727,-1.72992,0.0593749
-3.328e-04,-0.0999995,0.0726,-1.72992,0.0599999
-3.312e-04,-0.0999995,0.0724937,-1.72992,0.0599999
-3.296e-04,-0.0999995,0.0724125,-1.72742,0.0406249
-3.280e-04,-0.0992183,0.0720031,-1.72719,0.0598437
-3.264e-04,-0.0999995,0.0719094,-1.72781,0.0598437
