[Hz],FFT[dBm]
4.6157837E+04,-1.07345E+02
4.6348572E+04,-9.71654E+01
4.6539307E+04,-9.46054E+01
4.6730042E+04,-9.88454E+01
4.6920776E+04,-1.04405E+02
4.7111511E+04,-9.65054E+01
4.7302246E+04,-1.03925E+02
4.7492981E+04,-1.30745E+02
4.7683716E+04,-1.06405E+02
4.7874451E+04,-1.06245E+02
4.8065186E+04,-1.07705E+02
4.8255920E+04,-9.71054E+01
4.8446655E+04,-9.79654E+01
4.8637390E+04,-1.06545E+02
4.8828125E+04,-1.07425E+02
4.9018860E+04,-9.73654E+01
4.9209595E+04,-9.41854E+01
4.9400330E+04,-1.02305E+02
4.9591064E+04,-9.71054E+01
4.9781799E+04,-8.47654E+01
4.9972534E+04,-7.70654E+01
5.0163269E+04,-8.03654E+01
5.0354004E+04,-1.00985E+02
5.0544739E+04,-9.64854E+01
5.0735474E+04,-9.71054E+01
5.0926208E+04,-9.70054E+01
5.1116943E+04,-1.02385E+02
5.1307678E+04,-1.07845E+02
5.1498413E+04,-9.56054E+01
5.1689148E+04,-9.22054E+01
5.1879883E+04,-9.24254E+01
5.2070618E+04,-9.68854E+01
5.2261353E+04,-9.96654E+01
5.2452087E+04,-9.36254E+01
5.2642822E+04,-9.61054E+01
5.2833557E+04,-1.05025E+02
5.3024292E+04,-9.53654E+01
5.3215027E+04,-8.99854E+01
5.3405762E+04,-1.00925E+02
5.3596497E+04,-9.24854E+01
5.3787231E+04,-8.91454E+01
5.3977966E+04,-8.57654E+01
5.4168701E+04,-8.54654E+01
5.4359436E+04,-8.60054E+01
5.4550171E+04,-8.76854E+01
5.4740906E+04,-8.64854E+01
5.4931641E+04,-8.38054E+01
5.5122375E+04,-8.30854E+01
5.5313110E+04,-8.06254E+01
5.5503845E+04,-7.84454E+01
5.5694580E+04,-7.80254E+01
5.5885315E+04,-7.83254E+01
5.6076050E+04,-7.85854E+01
5.6266785E+04,-8.05454E+01
5.6457520E+04,-8.48054E+01
5.6648254E+04,-8.85654E+01
5.6838989E+04,-8.79454E+01
5.7029724E+04,-1.00005E+02
5.7220459E+04,-8.59254E+01
5.7411194E+04,-8.74454E+01
5.7601929E+04,-8.94254E+01
5.7792664E+04,-8.53854E+01
5.7983398E+04,-8.73054E+01
5.8174133E+04,-8.50454E+01
5.8364868E+04,-8.69054E+01
5.8555603E+04,-9.18854E+01
5.8746338E+04,-8.81854E+01
5.8937073E+04,-8.56854E+01
5.9127808E+04,-8.77454E+01
5.9318542E+04,-9.07054E+01
5.9509277E+04,-9.07054E+01
5.9700012E+04,-9.55254E+01
5.9890747E+04,-1.03365E+02
6.0081482E+04,-9.51854E+01
6.0272217E+04,-9.24454E+01
6.0462952E+04,-1.01685E+02
6.0653687E+04,-9.44654E+01
6.0844421E+04,-8.87054E+01
6.1035156E+04,-9.27454E+01
6.1225891E+04,-9.97454E+01
