Model,MSO4104B
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,4e-07
Horizontal Delay,-4.5e-08
Sample Interval,2e-10
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.005
Vertical Position,-3.34
,
,
,
Label,
TIME,CH1
-9.923200e-06,0.0001
-9.923000e-06,0.0015
-9.922800e-06,0.0027
-9.922600e-06,0.0015
-9.922400e-06,0.0001
-9.922200e-06,-0.0009
-9.922000e-06,-0.0005
-9.921800e-06,0.0009
-9.921600e-06,0.0019
-9.921400e-06,0.0019
-9.921200e-06,0.0009
-9.921000e-06,-0.0011
-9.920800e-06,-0.0017
-9.920600e-06,-0.0005
-9.920400e-06,0.0017
-9.920200e-06,0.0025
-9.920000e-06,0.0013
-9.919800e-06,-0.0011
-9.919600e-06,-0.0023
-9.919400e-06,-0.0005
-9.919200e-06,0.0015
-9.919000e-06,0.0023
-9.918800e-06,0.0013
-9.918600e-06,-0.0005
-9.918400e-06,-0.0009
-9.918200e-06,-0.0003
-9.918000e-06,0.0009
-9.917800e-06,0.0021
-9.917600e-06,0.0017
-9.917400e-06,0.0003
-9.917200e-06,-0.0007
-9.917000e-06,-0.0007
-9.916800e-06,0.0003
-9.916600e-06,0.0007
-9.916400e-06,0.0013
-9.916200e-06,0.0011
-9.916000e-06,0.0007
-9.915800e-06,-0.0005
-9.915600e-06,-0.0009
-9.915400e-06,0.0001
-9.915200e-06,0.0019
-9.915000e-06,0.0025
-9.914800e-06,0.0009
-9.914600e-06,-0.0005
-9.914400e-06,-0.0013
-9.914200e-06,0.0003
-9.914000e-06,0.0017
-9.913800e-06,0.0023
-9.913600e-06,0.0019
-9.913400e-06,0.0003
-9.913200e-06,-0.0009
-9.913000e-06,0.0003
-9.912800e-06,0.0015
-9.912600e-06,0.0017
-9.912400e-06,0.0013
-9.912200e-06,0.0001
-9.912000e-06,-0.0007
-9.911800e-06,0.0003
-9.911600e-06,0.0007
-9.911400e-06,0.0005
-9.911200e-06,0.0005
-9.911000e-06,0.0013
-9.910800e-06,0.0005
-9.910600e-06,-0.0001
-9.910400e-06,-0.0009
-9.910200e-06,-0.0007
-9.910000e-06,0.0009
-9.909800e-06,0.0021
-9.909600e-06,0.0013
-9.909400e-06,-0.0003
-9.909200e-06,-0.0013
-9.909000e-06,-0.0007
-9.908800e-06,0.0009
-9.908600e-06,0.0023
-9.908400e-06,0.0017
-9.908200e-06,0.0001
-9.908000e-06,-0.0007
-9.907800e-06,-0.0003
-9.907600e-06,0.0005
-9.907400e-06,0.0015
-9.907200e-06,0.0011
-9.907000e-06,0.0007
-9.906800e-06,-0.0003
-9.906600e-06,-0.0001
-9.906400e-06,0.0001
-9.906200e-06,0.0009
-9.906000e-06,0.0011
-9.905800e-06,0.0011
-9.905600e-06,0.0009
-9.905400e-06,0.0003
-9.905200e-06,-0.0003
-9.905000e-06,-0.0001
-9.904800e-06,0.0005
