[Hz],FFT[dBm]
3.57055664E+05,-9.02854E+01
3.58581543E+05,-8.66454E+01
3.60107422E+05,-8.68854E+01
3.61633301E+05,-9.13254E+01
3.63159180E+05,-9.68654E+01
3.64685059E+05,-9.70454E+01
3.66210938E+05,-9.52854E+01
3.67736816E+05,-9.77454E+01
3.69262695E+05,-9.48454E+01
3.70788574E+05,-9.49254E+01
3.72314453E+05,-9.69254E+01
3.73840332E+05,-9.33654E+01
3.75366211E+05,-9.47254E+01
3.76892090E+05,-8.86854E+01
3.78417969E+05,-8.76254E+01
3.79943848E+05,-9.30054E+01
3.81469727E+05,-9.61654E+01
3.82995605E+05,-9.36654E+01
3.84521484E+05,-9.66854E+01
3.86047363E+05,-9.03254E+01
3.87573242E+05,-9.12454E+01
3.89099121E+05,-9.44054E+01
3.90625000E+05,-1.03965E+02
3.92150879E+05,-9.79254E+01
3.93676758E+05,-9.78854E+01
3.95202637E+05,-9.57454E+01
3.96728516E+05,-1.01525E+02
3.98254395E+05,-1.00885E+02
3.99780273E+05,-9.96254E+01
4.01306152E+05,-9.48454E+01
4.02832031E+05,-8.65454E+01
4.04357910E+05,-8.71854E+01
4.05883789E+05,-1.07965E+02
4.07409668E+05,-8.65654E+01
4.08935547E+05,-8.69654E+01
4.10461426E+05,-8.94254E+01
4.11987305E+05,-9.15054E+01
4.13513184E+05,-1.03245E+02
4.15039062E+05,-9.59654E+01
4.16564941E+05,-8.92854E+01
4.18090820E+05,-8.83654E+01
4.19616699E+05,-9.26454E+01
4.21142578E+05,-9.29654E+01
4.22668457E+05,-9.00054E+01
4.24194336E+05,-8.98054E+01
4.25720215E+05,-9.72254E+01
4.27246094E+05,-9.96854E+01
4.28771973E+05,-8.88254E+01
4.30297852E+05,-8.86454E+01
4.31823730E+05,-9.12454E+01
4.33349609E+05,-9.06654E+01
4.34875488E+05,-1.08665E+02
4.36401367E+05,-9.42454E+01
4.37927246E+05,-8.98854E+01
4.39453125E+05,-9.17654E+01
4.40979004E+05,-9.74654E+01
4.42504883E+05,-9.44054E+01
4.44030762E+05,-9.23254E+01
4.45556641E+05,-9.56654E+01
4.47082520E+05,-9.69854E+01
4.48608398E+05,-9.09854E+01
4.50134277E+05,-9.03454E+01
4.51660156E+05,-9.12454E+01
4.53186035E+05,-9.39254E+01
4.54711914E+05,-8.80654E+01
4.56237793E+05,-8.57054E+01
4.57763672E+05,-8.91454E+01
4.59289551E+05,-9.10054E+01
4.60815430E+05,-9.02254E+01
4.62341309E+05,-9.23654E+01
4.63867188E+05,-9.45454E+01
4.65393066E+05,-1.05325E+02
4.66918945E+05,-1.07205E+02
4.68444824E+05,-8.99054E+01
4.69970703E+05,-8.45454E+01
4.71496582E+05,-8.70854E+01
4.73022461E+05,-9.10454E+01
4.74548340E+05,-9.33254E+01
4.76074219E+05,-9.43054E+01
4.77600098E+05,-9.40454E+01
4.79125977E+05,-8.71854E+01
4.80651855E+05,-8.81654E+01
4.82177734E+05,-9.08854E+01
4.83703613E+05,-9.16654E+01
4.85229492E+05,-1.01065E+02
4.86755371E+05,-9.99854E+01
4.88281250E+05,-8.49054E+01
4.89807129E+05,-8.24254E+01
4.91333008E+05,-8.71854E+01
4.92858887E+05,-1.01345E+02
4.94384766E+05,-9.21654E+01
4.95910645E+05,-9.31654E+01
4.97436523E+05,-9.21054E+01
4.98962402E+05,-1.03245E+02
5.00488281E+05,-9.20254E+01
5.02014160E+05,-9.23254E+01
5.03540039E+05,-9.74854E+01
5.05065918E+05,-9.19254E+01
5.06591797E+05,-8.56254E+01
5.08117676E+05,-8.51254E+01
5.09643555E+05,-1.03165E+02
5.11169434E+05,-8.80654E+01
5.12695312E+05,-9.33454E+01
5.14221191E+05,-8.65254E+01
5.15747070E+05,-8.51454E+01
5.17272949E+05,-8.81254E+01
5.18798828E+05,-8.87454E+01
5.20324707E+05,-9.32654E+01
5.21850586E+05,-1.12105E+02
5.23376465E+05,-9.53454E+01
5.24902344E+05,-9.09454E+01
5.26428223E+05,-9.87254E+01
5.27954102E+05,-8.67654E+01
5.29479980E+05,-8.55254E+01
5.31005859E+05,-8.58654E+01
5.32531738E+05,-8.87254E+01
5.34057617E+05,-9.98454E+01
5.35583496E+05,-1.12105E+02
5.37109375E+05,-8.98054E+01
5.38635254E+05,-9.41054E+01
5.40161133E+05,-9.84454E+01
5.41687012E+05,-1.07725E+02
5.43212891E+05,-9.19854E+01
5.44738770E+05,-1.08365E+02
5.46264648E+05,-1.00905E+02
5.47790527E+05,-9.29454E+01
5.49316406E+05,-9.75454E+01
5.50842285E+05,-9.09254E+01
5.52368164E+05,-8.89054E+01
5.53894043E+05,-9.44054E+01
5.55419922E+05,-1.08125E+02
5.56945801E+05,-9.80454E+01
5.58471680E+05,-9.52854E+01
5.59997559E+05,-9.27054E+01
5.61523438E+05,-9.51854E+01
5.63049316E+05,-8.99254E+01
5.64575195E+05,-9.23454E+01
5.66101074E+05,-9.22654E+01
5.67626953E+05,-9.22254E+01
5.69152832E+05,-8.73454E+01
5.70678711E+05,-8.57454E+01
5.72204590E+05,-7.82454E+01
5.73730469E+05,-5.24054E+01
5.75256348E+05,-4.84454E+01
5.76782227E+05,-5.70054E+01
5.78308105E+05,-7.58654E+01
5.79833984E+05,-9.38254E+01
5.81359863E+05,-9.88054E+01
5.82885742E+05,-9.03654E+01
5.84411621E+05,-8.50654E+01
5.85937500E+05,-9.01254E+01
5.87463379E+05,-9.33054E+01
5.88989258E+05,-9.21654E+01
5.90515137E+05,-9.80254E+01
5.92041016E+05,-9.66454E+01
5.93566895E+05,-9.44454E+01
5.95092773E+05,-9.69654E+01
5.96618652E+05,-9.76854E+01
5.98144531E+05,-9.52854E+01
5.99670410E+05,-9.23854E+01
6.01196289E+05,-8.92854E+01
6.02722168E+05,-9.39654E+01
6.04248047E+05,-9.13654E+01
6.05773926E+05,-8.72254E+01
6.07299805E+05,-9.04854E+01
6.08825684E+05,-8.81454E+01
6.10351562E+05,-9.01254E+01
6.11877441E+05,-8.14254E+01
6.13403320E+05,-8.23854E+01
6.14929199E+05,-8.76654E+01
6.16455078E+05,-7.48454E+01
6.17980957E+05,-7.19054E+01
6.19506836E+05,-6.53454E+01
6.21032715E+05,-5.60454E+01
6.22558594E+05,-4.06054E+01
6.24084473E+05,-2.42454E+01
6.25610352E+05,-2.30854E+01
6.27136230E+05,-3.50854E+01
6.28662109E+05,-5.36654E+01
6.30187988E+05,-6.35054E+01
6.31713867E+05,-7.08054E+01
6.33239746E+05,-7.66054E+01
6.34765625E+05,-8.06254E+01
6.36291504E+05,-8.31854E+01
6.37817383E+05,-8.82054E+01
6.39343262E+05,-8.78054E+01
6.40869141E+05,-9.38454E+01
6.42395020E+05,-9.02654E+01
6.43920898E+05,-8.77654E+01
6.45446777E+05,-9.76254E+01
6.46972656E+05,-9.30254E+01
6.48498535E+05,-1.11665E+02
6.50024414E+05,-9.20054E+01
6.51550293E+05,-9.99054E+01
6.53076172E+05,-9.46654E+01
6.54602051E+05,-9.38054E+01
6.56127930E+05,-9.95854E+01
6.57653809E+05,-9.64454E+01
6.59179688E+05,-8.95254E+01
6.60705566E+05,-9.25454E+01
6.62231445E+05,-9.48654E+01
6.63757324E+05,-8.95254E+01
6.65283203E+05,-9.10254E+01
6.66809082E+05,-9.84254E+01
6.68334961E+05,-9.23654E+01
6.69860840E+05,-8.70054E+01
6.71386719E+05,-8.26854E+01
6.72912598E+05,-6.04654E+01
6.74438477E+05,-4.90454E+01
6.75964355E+05,-5.05454E+01
6.77490234E+05,-6.74054E+01
6.79016113E+05,-8.21454E+01
6.80541992E+05,-9.11654E+01
6.82067871E+05,-9.60054E+01
6.83593750E+05,-8.31854E+01
6.85119629E+05,-9.20254E+01
6.86645508E+05,-9.24654E+01
6.88171387E+05,-8.68854E+01
6.89697266E+05,-8.61654E+01
6.91223145E+05,-9.07454E+01
6.92749023E+05,-9.11454E+01
6.94274902E+05,-8.83254E+01
6.95800781E+05,-9.15854E+01
6.97326660E+05,-8.95454E+01
6.98852539E+05,-9.13854E+01
7.00378418E+05,-9.17854E+01
7.01904297E+05,-9.14854E+01
7.03430176E+05,-8.75854E+01
7.04956055E+05,-8.98454E+01
7.06481934E+05,-1.02785E+02
7.08007812E+05,-9.43854E+01
7.09533691E+05,-8.86654E+01
7.11059570E+05,-9.49054E+01
7.12585449E+05,-9.17654E+01
7.14111328E+05,-8.88054E+01
7.15637207E+05,-9.10054E+01
7.17163086E+05,-9.03654E+01
7.18688965E+05,-9.02454E+01
7.20214844E+05,-9.90854E+01
7.21740723E+05,-9.22054E+01
7.23266602E+05,-8.66254E+01
7.24792480E+05,-9.29854E+01
7.26318359E+05,-9.95854E+01
7.27844238E+05,-9.11854E+01
7.29370117E+05,-9.04854E+01
7.30895996E+05,-9.13654E+01
7.32421875E+05,-8.79254E+01
7.33947754E+05,-9.58254E+01
7.35473633E+05,-1.02905E+02
7.36999512E+05,-9.83654E+01
7.38525391E+05,-9.39654E+01
7.40051270E+05,-8.78654E+01
7.41577148E+05,-8.75654E+01
7.43103027E+05,-9.05854E+01
7.44628906E+05,-8.69654E+01
