
Zeit;Weg;Kraft;Biegespannung;
s;mm;N;N/mm²;
1.20;0.173;0.10;0.01;
1.21;0.174;0.10;0.01;
1.21;0.175;0.40;0.06;
1.22;0.175;0.20;0.03;
1.22;0.176;-0.40;-0.06;
1.23;0.176;-0.40;-0.06;
1.23;0.177;-1.50;-0.22;
1.24;0.178;-1.40;-0.20;
1.24;0.178;-1.00;-0.15;
1.25;0.179;-0.60;-0.09;
1.25;0.180;0.20;0.03;
1.25;0.181;0.90;0.13;
1.26;0.181;1.10;0.16;
1.26;0.182;0.60;0.09;
1.27;0.183;1.00;0.15;
1.27;0.183;0.10;0.01;
1.28;0.184;0.50;0.07;
1.28;0.184;0.90;0.13;
1.29;0.185;1.10;0.16;
1.29;0.186;1.00;0.15;
1.30;0.186;0.20;0.03;
1.30;0.188;0.70;0.10;
1.31;0.188;0.20;0.03;
1.32;0.189;0.70;0.10;
1.32;0.190;0.60;0.09;
1.33;0.190;0.20;0.03;
1.33;0.191;0.10;0.01;
1.34;0.191;0.20;0.03;
1.34;0.192;0.40;0.06;
1.35;0.192;-0.20;-0.03;
1.35;0.193;0.50;0.07;
1.36;0.194;0.50;0.07;
1.36;0.194;0.70;0.10;
1.37;0.196;0.60;0.09;
1.37;0.196;0.20;0.03;
1.38;0.197;-0.20;-0.03;
1.38;0.198;-0.30;-0.04;
1.38;0.198;0.40;0.06;
1.39;0.199;0.50;0.07;
1.39;0.199;0.50;0.07;
1.40;0.200;0.10;0.01;
1.40;0.200;-0.10;-0.01;
1.41;0.201;-0.20;-0.03;
1.41;0.202;-0.40;-0.06;
1.42;0.203;-0.30;-0.04;
1.42;0.204;-0.60;-0.09;
1.43;0.204;-0.90;-0.13;
1.43;0.205;-0.70;-0.10;
1.44;0.206;0.10;0.01;
1.45;0.206;-0.00;-0.00;
1.45;0.206;0.60;0.09;
1.46;0.207;0.50;0.07;
1.46;0.208;-0.30;-0.04;
1.47;0.208;0.10;0.01;
1.47;0.209;-0.60;-0.09;
1.48;0.210;-0.80;-0.12;
1.48;0.211;-0.60;-0.09;
1.49;0.211;-0.50;-0.07;
1.49;0.212;-0.10;-0.01;
1.50;0.213;0.90;0.13;
1.50;0.213;0.80;0.12;
1.50;0.214;0.90;0.13;
1.51;0.214;0.50;0.07;
1.51;0.215;0.10;0.01;
1.52;0.216;0.20;0.03;
1.52;0.216;-0.20;-0.03;
1.53;0.217;0.50;0.07;
1.53;0.218;0.50;0.07;
1.54;0.219;0.80;0.12;
1.54;0.219;1.30;0.19;
1.55;0.220;0.50;0.07;
1.55;0.221;0.70;0.10;
1.56;0.221;0.60;0.09;
1.57;0.222;0.90;0.13;
1.57;0.222;1.30;0.19;
1.58;0.223;0.60;0.09;
1.58;0.224;0.40;0.06;
1.59;0.225;-0.20;-0.03;
1.59;0.225;0.40;0.06;
1.60;0.226;0.90;0.13;
1.60;0.227;1.00;0.15;
1.61;0.227;0.40;0.06;
1.61;0.228;-0.60;-0.09;
1.62;0.228;-0.40;-0.06;
1.62;0.229;0.20;0.03;
1.63;0.230;0.60;0.09;
1.63;0.230;1.70;0.25;
